id,name,altName,caloriesPer100g,proteinPer100g,carbsPer100g,fatPer100g,source
dost-1502,"Vegetable spring roll, fresh, w/ yacon",Yacon lumpiang sariwa,147,3.8,23.6,4.2,DOST PH
dost-1503,"Pork ball, wrapped",Pork wonton/Pork siomai,298,10.5,26.4,16.7,DOST PH
dost-1504,"Beef w/ veg, str",N/A,48,3.8,7.5,0.3,DOST PH
dost-1505,"Beef, egg noodle, veg, str",N/A,41,2.8,7.3,0.1,DOST PH
dost-1506,"Carrot, str",N/A,23,0.6,4.8,0.1,DOST PH
dost-1507,"Cereals, applesce & banana, str",N/A,84,1,18.2,0.8,DOST PH
dost-1508,"Chicken noodle, str",N/A,50,2.6,8.9,0.4,DOST PH
dost-1509,"Chicken w/ veg, str",N/A,111,8.8,6.9,5.4,DOST PH
dost-1510,"Chicken, asparagus, str",N/A,39,7.9,0,0.8,DOST PH
dost-1511,"Cream chicken soup, str",N/A,48,1.8,9,0.5,DOST PH
dost-1512,"Custard pudding, choco, str",N/A,87,1.4,18.6,0.8,DOST PH
dost-1513,"Custard pudding, vanilla, str",N/A,94,1.3,19.7,1.1,DOST PH
dost-1514,"Fruit w/ tapioca, str",N/A,91,0.2,20.4,1,DOST PH
dost-1515,"Mango & papaya, str",N/A,91,0.2,21.8,0.3,DOST PH
dost-1516,"Mango, str",N/A,87,0.2,18.8,1.2,DOST PH
dost-1517,"Mixed fruits, str",N/A,90,0.2,20.3,0.9,DOST PH
dost-1518,"Mixed veg, str",N/A,42,1.4,8.7,0.2,DOST PH
dost-1519,"Peach, str",N/A,112,0.6,26.6,0.3,DOST PH
dost-1520,"Rice w/ chicken, str",N/A,46,1.6,8.6,0.6,DOST PH
dost-1521,"Squash, str",N/A,33,0.4,7.5,0.1,DOST PH
dost-1522,"Veg, liver & bacon, str",N/A,47,2.1,7.6,0.9,DOST PH
dost-1523,Azolla pinnata,N/A,18,1.4,2.1,0.4,DOST PH
dost-1524,Baking powder,N/A,166,0.2,40.7,0.3,DOST PH
dost-1525,Ceylon moss/Agar-agar bar,Gulaman,311,2.6,74.5,0.3,DOST PH
dost-1526,"Coffee creamer, non-dairy",N/A,390,4.1,91.9,0.7,DOST PH
dost-1527,Chlorella,N/A,351,53.3,23.4,4.9,DOST PH
dost-1528,Gelatin powder,N/A,351,85.4,0,1,DOST PH
dost-1529,Rice washing,Hugas-bigas,6,0.1,1,0.2,DOST PH
dost-1530,"Yeast, baker&#39;s, active, dry","Lebadura, baker&#39;s, tuyo",363,37.2,50.5,1.3,DOST PH
dost-1531,"Coconut meat, grated, sweetn",Bukayo,399,2.2,92.8,2.1,DOST PH
dost-1532,Ginger,Luya,46,1.1,8.5,0.8,DOST PH
dost-1533,Turmeric,Luyang dilaw,71,2,9.6,2.7,DOST PH
dost-1534,"Egg mass, sea hare",Lukot,17,2.4,1.3,0.2,DOST PH
dost-1535,"Tea, prep w/ water, no sugar",N/A,1,0.1,0.2,0,DOST PH
dost-1536,Locust,Balang,147,13.7,13.4,4.3,DOST PH
